patronyme,count
MAUGER,1023
LOUVET,1021
MAGNIER,1020
SIMONIN,1019
LE BRAS,1018
RIVET,1018
YILMAZ,1018
LAFFONT,1017
BABIN,1015
BUREL,1014
LENFANT,1011
VERRIER,1010
CHABOT,1009
MUNIER,1009
AUVRAY,1008
JANIN,1002
BARDET,1000
BONTEMPS,1000
JAMES,995
TIXIER,995
COLLARD,992
HAMELIN,992
PERES,991
VIAUD,991
OLIVE,990
BRIERE,990
GILLOT,988
BAILLEUL,988
ZHANG,988
JANVIER,988
SAID,988
ALONSO,988
CHARDON,987
MAGNIN,986
TAIEB,985
COURTIN,984
LEBAS,982
MALET,980
ALI,980
GUILLOUX,980
LAFOND,980
PIOT,980
PAILLARD,980
THUILLIER,979
PEYRE,978
VERGNE,978
CHIRON,978
CAPELLE,976
HERAULT,976
CANO,975
DERRIEN,974
LE BRETON,974
LE MEUR,972
ACHARD,972
AUGE,971
DROUIN,970
SAULNIER,969
CHOPIN,968
PICHARD,966
BESNIER,964
HUGUES,964
GOURDON,963
GROSS,962
MURAT,961
RIO,961
BARRAUD,959
SIMONNET,959
FRAISSE,958
CHARLET,958
ALIX,957
RODIER,957
GEFFROY,956
COTTIN,954
GARREAU,954
LANDAIS,953
JEANNIN,953
RONDEAU,952
LAFITTE,951
LAVAUD,950
MAZET,950
JARDIN,947
VARIN,947
FUCHS,946
SEGURA,945
VIGUIER,945
QUENTIN,945
CORMIER,944
MARCEL,942
SYLLA,942
CLAVERIE,942
GALLO,941
REMOND,940
RENAUDIN,939
BOSSARD,937
ROLLET,935
BRAUN,934
BARDIN,933
RUSSO,931
CELLIER,929
PICHOT,929
AZOULAY,928
AUFFRET,927
COUTANT,926
DUCHESNE,926
LARCHER,925
CAILLE,924
CHRISTOPHE,924
CHEMIN,924
ROBINET,923
METAYER,922
LAFARGUE,922
MANCEAU,919
GASNIER,919
LAVILLE,918
REYMOND,916
LAFLEUR,913
MERLET,911
BAILLET,911
CARRIER,911
LARUE,910
KOCH,910
GARRIGUES,910
LEPRETRE,909
CAUSSE,908
RAIMBAULT,907
BELLET,907
DAUPHIN,906
FRANCO,906
TOUTAIN,906
BILLET,905
BRUYERE,904
BEAUVAIS,903
DEVOS,903
PRUNIER,902
CHERON,901
SENECHAL,900
GAULTIER,900
HEMERY,898
SOULARD,898
JACQUIER,896
DIABY,896
ROLLIN,896
JAN,892
AUDIBERT,891
MORA,891
GUYARD,891
LELOUP,890
HONORE,889
LAPLACE,889
MENAGER,886
VERON,886
GOUPIL,886
CHAPELLE,885
CARTON,884
JAOUEN,884
TOUATI,883
OUVRARD,883
HUGON,883
FRITSCH,882
DUFRESNE,881
LOISON,881
GAUCHER,881
ROCHETTE,880
CHAIX,879
DUBOST,878
DEVILLE,878
FORGET,877
GOBERT,877
LOISEL,877
LAUGIER,876
BERTHE,876
PRUDHOMME,875
BACH,875
VIGNON,875
